chapter,word_paragraph_index,style_name,old_text_preview,new_text_preview,change_type
摘要,27,Normal,随着就业竞争加剧和高校毕业生规模持续扩大，传统依赖人工经验与静态题库的求职训练方式已难以满足个性化、连续化和即时化的训练需求。针对这一问题，本文设计并实现了一种基于大语言模型的沉浸...,随着就业竞争加剧和高校毕业生规模持续扩大，传统依赖人工经验与静态题库的求职训练方式，已难以满足个性化、连续化和即时化的训练需求。针对这一问题，本文设计并实现了一种基于大语言模型的沉...,body
摘要,28,Normal,在具体实现中，系统首先通过 PDF 文本提取与大语言模型结构化输出，对用户简历中的技能和项目经历进行提炼；随后根据岗位模板构建面试会话上下文，驱动模型围绕用户履历生成更具针对性的面...,在具体实现中，系统先通过 PDF 文本提取与大语言模型结构化输出，对用户简历中的技能和项目经历进行提炼；再根据岗位模板构建面试会话上下文，驱动模型围绕用户履历生成更具针对性的面试问...,body
摘要,29,Normal,本文工作表明，大语言模型在求职训练场景中具有较好的应用潜力，但系统在长程上下文管理、内容可靠性与多模态交互方面仍存在进一步优化空间。后续可围绕摘要压缩、事实核验和语音化扩展等方向展...,本文工作表明，大语言模型在求职训练场景中具有较好的应用潜力。与此同时，系统在长程上下文管理、内容可靠性与多模态交互方面仍存在进一步优化空间。后续可围绕摘要压缩、事实核验和语音化扩展...,body
Abstract,34,Normal,With the intensifying competition in the job market and the continuous growth in the numbe...,With the intensifying competition in the job market and the continuous growth in the numbe...,body
Abstract,35,Normal,"In the implementation process, resume text is first extracted from PDF files and then tran...","In the implementation process, resume text is first extracted from PDF files and then tran...",body
第一章 绪论,40,Normal,近年来，宏观经济结构调整、产业升级与高校毕业生规模持续扩大叠加作用，使就业市场的供需匹配压力显著上升。对于企业而言，传统招聘流程长期依赖人工阅读简历、经验判断与线下沟通，不仅处理效...,近年来，宏观经济结构调整、产业升级与高校毕业生规模持续扩大共同作用，使就业市场的供需匹配压力显著上升。对企业而言，传统招聘流程长期依赖人工阅读简历、经验判断与线下沟通，处理效率有限...,body
第一章 绪论,41,Normal,人工智能技术的发展为招聘流程重构与面试训练升级提供了新的技术基础。相关研究指出，企业招聘场景中的智能化转型已经从基础的信息归集、简历筛选逐步扩展至人才画像、能力识别与辅助决策等环节...,人工智能技术的发展，为招聘流程重构与面试训练升级提供了新的技术基础。相关研究指出，企业招聘场景中的智能化转型，已经从基础的信息归集、简历筛选逐步扩展至人才画像、能力识别与辅助决策等...,body
第一章 绪论,42,Normal,随着人工智能技术在就业服务、招聘筛选和人才评估场景中的持续渗透，劳动者所需能力结构也在发生变化。相关研究表明，智能招聘系统正在从关键词检索逐步转向语义匹配和上下文理解，以提升候选人...,随着人工智能技术持续渗透就业服务、招聘筛选和人才评估场景，劳动者所需能力结构也在发生变化。相关研究表明，智能招聘系统正从关键词检索逐步转向语义匹配和上下文理解，以提升候选人经历与岗...,body
第一章 绪论,43,Normal,大语言模型的快速演进进一步推动了交互式智能系统的发展。与传统基于规则或单轮问答的系统相比，大语言模型在文本理解、上下文关联、动态生成与反馈表达方面展现出更强的通用能力，使其能够被用...,大语言模型的快速演进，进一步推动了交互式智能系统的发展。与传统基于规则或单轮问答的系统相比，大语言模型在文本理解、上下文关联、动态生成与反馈表达方面具有更强的通用能力，可用于构建面...,body
第一章 绪论,45,Normal,从国外研究情况来看，人工智能已较早进入招聘评估与面试训练相关场景。部分研究开始关注生成式人工智能在面试训练系统中的应用，通过岗位场景划分、难度分级与实时反馈机制，为用户提供个性化训...,从国外研究情况看，人工智能较早进入招聘评估与面试训练相关场景。部分研究开始关注生成式人工智能在面试训练系统中的应用，通过岗位场景划分、难度分级与实时反馈机制，为用户提供个性化训练支...,body
第一章 绪论,46,Normal,在人岗匹配研究方面，相关工作逐渐从传统关键词筛选转向语义匹配和深度学习模型。部分研究将简历文本与岗位描述建模为双边匹配任务，利用 BERT、结构化提示词或语义嵌入方法提取候选人能力...,在人岗匹配研究方面，相关工作逐渐从传统关键词筛选转向语义匹配和深度学习模型。部分研究将简历文本与岗位描述建模为双边匹配任务，利用 BERT、结构化提示词或语义嵌入方法，提取候选人能...,body
第一章 绪论,47,Normal,在面试训练系统方面，国外研究已经开始将生成式对话模型用于模拟面试和自动反馈，并进一步结合 VR 或多模态信息提升训练真实感；国内研究也开始探索多智能体协同的大学生就业面试训练系统，...,在面试训练系统方面，国外研究已开始将生成式对话模型用于模拟面试和自动反馈，并进一步结合 VR 或多模态信息提升训练真实感。国内研究也开始探索多智能体协同的大学生就业面试训练系统，将...,body
第一章 绪论,48,Normal,现有国外产品与研究虽然在自动化招聘、模拟交互与智能反馈方面积累了一定经验，但仍存在若干局限。其一，不少系统更加关注通用问答能力或岗位技能测验，对用户个体简历信息的深度利用仍然不足，...,现有国外产品与研究虽然在自动化招聘、模拟交互与智能反馈方面积累了一定经验，但仍存在若干局限。一些系统更关注通用问答能力或岗位技能测验，对用户个体简历信息的深度利用仍然不足，难以形成...,body
第一章 绪论,49,Normal,从国内研究情况来看，相关工作主要集中在招聘智能化、中文简历解析与面试训练系统设计三个方向。一方面，有研究从企业招聘管理视角讨论人工智能背景下招聘体系的优化路径，指出招聘智能化应从理...,从国内研究情况看，相关工作主要集中在招聘智能化、中文简历解析与面试训练系统设计三个方向。一方面，有研究从企业招聘管理视角讨论人工智能背景下招聘体系的优化路径，指出招聘智能化应从理念...,body
第一章 绪论,50,Normal,此外，随着大语言模型和多智能体技术的发展，国内也开始出现面向就业辅导与面试训练的系统设计研究。相关研究尝试将姿态、情感、文本理解与反馈生成等能力拆解为多个协同模块，以支持更细粒度的...,随着大语言模型和多智能体技术的发展，国内也开始出现面向就业辅导与面试训练的系统设计研究。相关研究尝试将姿态、情感、文本理解与反馈生成等能力拆解为多个协同模块，以支持更细粒度的训练反...,body
第一章 绪论,51,Normal,综合来看，国内外研究已经分别在招聘智能化、简历解析、模拟训练与多轮对话评估等方面形成了较为丰富的理论与技术积累，但仍缺少一个能够同时整合用户简历信息、岗位模板、动态问答生成与流式交...,综合来看，国内外研究已经在招聘智能化、简历解析、模拟训练与多轮对话评估等方面形成较为丰富的理论与技术积累，但仍缺少一个能够同时整合用户简历信息、岗位模板、动态问答生成与流式交互体验...,body
第一章 绪论,53,Normal,本课题围绕“简历诊断—模拟面试—结果评估”的完整训练链路展开设计与实现。首先，在简历处理环节，系统通过 PDF 文本提取与大语言模型结构化输出相结合的方式，对用户简历中的技能、项目...,本课题围绕“简历诊断—模拟面试—结果评估”的完整训练链路展开设计与实现。在简历处理环节，系统通过 PDF 文本提取与大语言模型结构化输出相结合的方式，抽取用户简历中的技能、项目经历...,body
第一章 绪论,56,Normal,全文共分为六章。第一章为绪论，主要阐述课题研究背景、国内外研究现状、研究内容与论文整体结构。第二章为相关技术综述，介绍大语言模型、SSE 流式通信、Vue 3、Spring Boo...,全文共分为六章。第一章为绪论，主要阐述课题研究背景、国内外研究现状、研究内容与论文整体结构。第二章为相关技术综述，介绍大语言模型、SSE 流式通信、Vue 3、Spring Boo...,body
第二章 相关技术综述,60,Normal,大语言模型是近年来自然语言处理领域的重要发展方向，其核心基础通常建立在 Transformer 架构之上。与传统循环神经网络相比，Transformer 通过自注意力机制对输入序列...,大语言模型是近年来自然语言处理领域的重要发展方向，其核心基础通常建立在 Transformer 架构之上。与传统循环神经网络相比，Transformer 通过自注意力机制对输入序列...,body
第二章 相关技术综述,61,Normal,在工程应用层面，大语言模型的价值不仅体现在生成能力本身，还体现在其通用接口生态的快速形成。随着 OpenAI 协议逐渐成为事实上的接口标准，不同厂商提供的大模型服务在请求结构、消息...,在工程应用层面，大语言模型的价值不仅体现在生成能力本身，也体现在通用接口生态的快速形成。随着 OpenAI 协议逐渐成为事实上的接口标准，不同厂商提供的大模型服务在请求结构、消息组...,body
第二章 相关技术综述,62,Normal,本系统选用 DeepSeek API 作为外部大语言模型服务，主要基于三方面考虑。其一，DeepSeek 提供与 OpenAI 协议兼容的聊天接口，便于后端直接采用标准化的 mes...,本系统选用 DeepSeek API 作为外部大语言模型服务，主要考虑接口兼容、流式输出和项目适配性。DeepSeek 提供与 OpenAI 协议兼容的聊天接口，后端可直接采用标准...,body
第二章 相关技术综述,70,Normal,Vue 3 在框架层面引入了 Composition API，为复杂前端状态管理与逻辑复用提供了新的组织方式。与传统 Options API 按照 data、methods、com...,Vue 3 在框架层面引入 Composition API，为复杂前端状态管理与逻辑复用提供了新的组织方式。与传统 Options API 按照 data、methods、comp...,body
第二章 相关技术综述,71,Normal,本系统前端采用 Vue 3.5 与 TypeScript 6 组合实现，其中模拟面试页面涉及较为复杂的流式状态控制逻辑。例如，在用户发起一次面试问答请求后，前端需要维护连接建立、流...,本系统前端采用 Vue 3.5 与 TypeScript 6 组合实现，其中模拟面试页面涉及较为复杂的流式状态控制逻辑。用户发起一次面试问答请求后，前端需要维护连接建立、流式接收、...,body
第二章 相关技术综述,72,Normal,基于此，本系统采用 Composition API，并进一步将流式请求逻辑抽离为 useInterviewStream 之类的组合式函数，以便把“状态定义—请求发起—事件解析—错误...,基于此，本系统采用 Composition API，并将流式请求逻辑抽离为 useInterviewStream 之类的组合式函数，以便把“状态定义—请求发起—事件解析—错误恢复”...,body
第三章 系统分析与设计,89,Normal,在用户注册与登录用例中，参与者为系统用户。其前置条件为用户尚未登录系统，且注册场景下用户名未被占用。基本流程如下：首先，用户在登录页选择注册或登录操作并填写必要信息；其次，系统对输...,在用户注册与登录用例中，参与者为系统用户。其前置条件为用户尚未登录系统，且注册场景下用户名未被占用。基本流程为：用户在登录页选择注册或登录操作并填写必要信息；系统对输入内容进行合法...,body
第三章 系统分析与设计,90,Normal,在简历上传与 AI 诊断用例中，参与者为已登录用户。其前置条件为用户已通过身份认证，且待上传文件满足 PDF 格式与大小限制。基本流程如下：首先，用户在简历页面上传 PDF 文件；...,在简历上传与 AI 诊断用例中，参与者为已登录用户。其前置条件为用户已通过身份认证，且待上传文件满足 PDF 格式与大小限制。用户在简历页面上传 PDF 文件后，系统先对文件类型和...,body
第三章 系统分析与设计,91,Normal,在发起模拟面试用例中，参与者为已登录且已上传简历的用户。其前置条件为用户已选择可用简历，系统已预置岗位模板。基本流程如下：首先，用户在页面中点击“开始面试”并选择目标岗位；其次，系...,在发起模拟面试用例中，参与者为已登录且已上传简历的用户。其前置条件为用户已选择可用简历，系统已预置岗位模板。用户在页面中点击“开始面试”并选择目标岗位后，系统创建新的面试会话主记录...,body
第三章 系统分析与设计,92,Normal,在进行多轮对话面试用例中，参与者仍为已登录用户。其前置条件为目标会话存在且处于进行中状态。基本流程如下：首先，用户在面试页面输入或提交当前轮次回答；其次，系统将用户消息写入数据库，...,在进行多轮对话面试用例中，参与者仍为已登录用户。其前置条件为目标会话存在且处于进行中状态。用户在面试页面输入或提交当前轮次回答后，系统将用户消息写入数据库，并按顺序查询当前会话历史...,body
第三章 系统分析与设计,93,Normal,在查看 AI 生成评估报告用例中，参与者为完成面试的用户。其前置条件为面试会话处于进行中或刚完成最后一轮问答，系统能够访问该会话的完整历史记录。基本流程如下：首先，用户点击“结束面...,在查看 AI 生成评估报告用例中，参与者为完成面试的用户。其前置条件为面试会话处于进行中状态，或刚完成最后一轮问答，且系统能够访问该会话的完整历史记录。用户点击“结束面试”后，系统...,body
第三章 系统分析与设计,95,Normal,除功能完整性外，本系统还需要满足一定的非功能性要求。首先，在响应时延方面，系统采用流式输出机制，以缩短用户从提交回答到看到首段模型回复之间的等待时间。结合当前系统定位，SSE 首字...,除功能完整性外，本系统还需要满足一定的非功能性要求。在响应时延方面，系统采用流式输出机制，以缩短用户从提交回答到看到首段模型回复之间的等待时间。结合当前系统定位，SSE 首字节响应...,body
第三章 系统分析与设计,96,Normal,其次，在数据安全方面，系统需避免将第三方模型服务密钥暴露给前端或提交到代码仓库，因此 DeepSeek API Key 仅保存在后端本地配置文件中，并通过后端代理方式发起模型调用。...,在数据安全方面，系统需避免将第三方模型服务密钥暴露给前端或提交到代码仓库。因此，DeepSeek API Key 仅保存在后端本地配置文件中，并通过后端代理方式发起模型调用。与此同...,body
第三章 系统分析与设计,97,Normal,最后，在可用性方面，系统依赖外部大语言模型服务，因此需要考虑第三方接口超时、断流或异常返回的情况。为此，系统在前后端都应设计相应的异常处理与降级提示机制，例如在流式中断时向用户提示...,在可用性方面，系统依赖外部大语言模型服务，需要考虑第三方接口超时、断流或异常返回等情况。为此，系统在前后端均应设计相应的异常处理与降级提示机制，例如在流式中断时向用户提示连接异常，...,body
第三章 系统分析与设计,103,Normal,interview_message 表是支撑多轮对话组织的关键表。该表中的 role 字段用于区分消息来源，分别标记为 system、user 与 assistant。其中，sys...,interview_message 表是支撑多轮对话组织的关键表。该表中的 role 字段用于区分消息来源，分别标记为 system、user 与 assistant。其中，sys...,body
第三章 系统分析与设计,105,Normal,从总体架构看，本系统由浏览器客户端、Spring Boot 服务层、MySQL 数据库和 DeepSeek/OpenAI 兼容模型服务四个层次组成，整体架构如图 3.3 所示。浏览...,从总体架构看，本系统由浏览器客户端、Spring Boot 服务层、MySQL 数据库和 DeepSeek/OpenAI 兼容模型服务四个层次组成，整体架构如图 3.3 所示。浏览...,body
第三章 系统分析与设计,108,Normal,系统内部主要存在两条通信通路。第一条是普通 REST 通路，用于完成注册登录、简历上传、岗位列表查询、会话创建、历史记录查询和报告获取等请求，该类请求通常遵循“客户端发起—服务端处...,系统内部主要存在两条通信通路。第一条是普通 REST 通路，用于完成注册登录、简历上传、岗位列表查询、会话创建、历史记录查询和报告获取等请求。该类请求通常遵循“客户端发起—服务端处...,body
第四章 系统实现,113,Normal,从实现顺序看，系统遵循“基础设施—用户认证—简历解析—面试会话—流式对话—报告生成”的渐进式开发路径。这样安排的主要原因在于，后续功能都依赖统一返回体、异常处理、登录鉴权与基础数据...,从实现顺序看，系统遵循“基础设施—用户认证—简历解析—面试会话—流式对话—报告生成”的渐进式开发路径。这样安排是因为后续功能都依赖统一返回体、异常处理、登录鉴权与基础数据表结构，而...,body
第四章 系统实现,114,Normal,本章主要围绕五个实现模块展开说明，即用户认证模块、简历解析模块、面试会话模块、沉浸式流式模拟面试模块以及评估报告生成模块。其中，前四类模块共同构成系统的交互链路，评估报告模块则承担...,本章主要围绕五个实现模块展开说明，即用户认证模块、简历解析模块、面试会话模块、沉浸式流式模拟面试模块以及评估报告生成模块。其中，前四类模块共同构成系统交互链路，评估报告模块则承担对...,body
第四章 系统实现,116,Normal,用户认证模块是系统全部业务流程的入口，也是简历、会话与历史记录能够实现按用户隔离管理的前提。系统在基础设施层首先实现统一返回体 Result<T>、业务异常类 BusinessEx...,用户认证模块是系统全部业务流程的入口，也是简历、会话与历史记录能够实现按用户隔离管理的前提。系统在基础设施层先实现统一返回体 Result<T>、业务异常类 BusinessExc...,body
第四章 系统实现,117,Normal,为保证业务数据只在当前登录用户范围内可见，后端通过 JwtInterceptor 对受保护接口进行统一拦截，并将解析出的用户标识写入 UserContext 以供业务层读取。该设计...,为保证业务数据只在当前登录用户范围内可见，后端通过 JwtInterceptor 对受保护接口进行统一拦截，并将解析出的用户标识写入 UserContext 以供业务层读取。该设计...,body
第四章 系统实现,118,Normal,除认证功能外，系统基础设施还包含全局跨域配置与线程池配置。前者用于解决前端开发服务器和后端接口服务分属不同端口时的浏览器跨域访问问题；后者则为后续的 SSE 流式接口提供异步执行能...,除认证功能外，系统基础设施还包含全局跨域配置、线程池配置和用户级模型配置管理。跨域配置用于解决前端开发服务器和后端接口服务分属不同端口时的浏览器跨域访问问题；线程池配置为后续 SS...,body
第四章 系统实现,126,Normal,面试会话模块的核心任务是把用户身份、简历信息和岗位模板组织成一个可持续扩展的对话上下文，为后续多轮面试交互提供统一入口。系统预先在 position_template 表中存储多个...,面试会话模块的核心任务是把用户身份、简历信息和岗位模板组织成一个可持续扩展的对话上下文，为后续多轮面试交互提供统一入口。系统预先在 position_template 表中存储多个...,body
第四章 系统实现,127,Normal,在创建主会话记录后，系统继续读取对应岗位模板中的 system_prompt，并将其写入 interview_message 表作为当前会话的第一条消息，role 设为 syste...,创建主会话记录后，系统继续读取对应岗位模板中的 system_prompt，并将其写入 interview_message 表作为当前会话的第一条消息，role 设为 system...,body
第四章 系统实现,128,Normal,该模块还承担历史面试记录管理的作用。用户可以查询自己曾经发起的面试会话列表，查看不同岗位、不同简历对应的历史记录和报告结果。由于会话主表保存了目标岗位名称、状态和总结报告，因此历史...,该模块还承担历史面试记录管理的作用。用户可以查询自己曾经发起的面试会话列表，查看不同岗位、不同简历对应的历史记录和报告结果。由于会话主表保存了目标岗位名称、状态和总结报告，历史记录...,body
第四章 系统实现,130,Normal,沉浸式流式模拟面试模块是本系统实现层的核心部分，其主要目标是在用户完成简历上传和岗位选择后，提供接近真实面试节奏的多轮动态交互体验。该模块的实现起点是用户在面试页面输入当前轮次回答...,沉浸式流式模拟面试模块是本系统实现层的核心部分，其主要目标是在用户完成简历上传和岗位选择后，提供接近真实面试节奏的多轮动态交互体验。该模块的实现起点是用户在面试页面输入当前轮次回答...,body
第四章 系统实现,131,Normal,在保存用户消息后，后端按 seq_num 升序读取当前会话全部历史消息，并构造发送给大语言模型的 messages 数组。考虑到无限制传递全部对话会导致 Token 消耗持续增加，...,保存用户消息后，后端按 seq_num 升序读取当前会话全部历史消息，并构造发送给大语言模型的 messages 数组。考虑到无限制传递全部对话会导致 Token 消耗持续增加，同...,body
第四章 系统实现,132,Normal,相关研究进一步指出，多轮对话中的早期假设固化、错误上下文累积和上下文压力可能导致模型表现下降。因此，本系统当前采用的固定窗口策略属于基础级控制方案，能够限制上下文规模，但仍不能完全...,相关研究进一步指出，多轮对话中的早期假设固化、错误上下文累积和上下文压力，可能导致模型表现下降。因此，本系统当前采用的固定窗口策略属于基础级控制方案，能够限制上下文规模，但仍不能完...,body
第四章 系统实现,133,Normal,完成消息拼装后，后端通过 DeepSeek 的流式接口发起请求，并借助 SseEmitter 将模型生成内容逐段推送给前端。为了避免长时间流式处理阻塞 Tomcat 主线程，整个调...,完成消息拼装后，后端通过 DeepSeek 的流式接口发起请求，并借助 SseEmitter 将模型生成内容逐段推送给前端。为了避免长时间流式处理阻塞 Tomcat 主线程，整个调...,body
第四章 系统实现,134,Normal,在流式结束后，后端还需把本轮完整的模型回复重新拼接为完整字符串，并作为一条 assistant 消息写入 interview_message 表，使数据库中的会话历史保持完整闭环。...,流式结束后，后端还需把本轮完整的模型回复重新拼接为完整字符串，并作为一条 assistant 消息写入 interview_message 表，使数据库中的会话历史保持完整闭环。由...,body
第四章 系统实现,136,Normal,评估报告生成模块承担对整场模拟面试过程进行总结与反馈的作用，是系统实现闭环中的最后一环。当用户在前端点击“结束面试”后，后端首先校验目标会话是否属于当前用户且仍处于进行中状态，以防...,评估报告生成模块承担对整场模拟面试过程进行总结与反馈的作用，是系统实现闭环中的最后一环。当用户在前端点击“结束面试”后，后端校验目标会话是否属于当前用户且仍处于进行中状态，以防止重...,body
第四章 系统实现,138,Normal,从实现效果看，该模块将原本分散在多轮交互中的内容重新压缩为可复盘、可阅读的结果摘要，使模拟面试不再停留于即时问答，而能够真正形成训练闭环。其局限在于，报告质量仍然依赖外部大语言模型...,从实现效果看，该模块将原本分散在多轮交互中的内容重新压缩为可复盘、可阅读的结果摘要，使模拟面试不再停留于即时问答，而能够形成训练闭环。其局限在于，报告质量仍然依赖外部大语言模型的稳...,body
第四章 系统实现,140,Normal,为便于后续终稿整理和答辩追问，本章已同步整理三组核心实现证据。第一组为流式问答推送实现，主要对应 InterviewServiceImpl.chat、streamAssistant...,为便于后续终稿整理和答辩追问，本章已同步整理三组核心实现证据：流式问答推送实现主要对应 InterviewServiceImpl.chat、streamAssistantReply...,body
第四章 系统实现,141,Normal,本章从实现层面对系统的主要模块进行了说明。首先，系统通过统一异常处理、JWT 鉴权、跨域与线程池配置搭建基础设施；其次，借助 PDF 文本提取与大语言模型结构化分析实现简历解析；再...,本章从实现层面对系统主要模块进行了说明。系统通过统一异常处理、JWT 鉴权、跨域、线程池配置和用户级模型配置管理搭建基础设施；借助 PDF 文本提取、大语言模型结构化分析和输入长度...,body
第五章 系统测试,145,Normal,系统测试的目的在于验证本系统在既定业务场景下的功能完整性、交互稳定性与基本可用性，并为后续论文结论与系统评价提供依据。由于本系统核心能力依赖外部大语言模型服务，模型生成内容本身具有...,系统测试的目的在于验证本系统在既定业务场景下的功能完整性、交互稳定性与基本可用性，并为后续论文结论与系统评价提供依据。由于本系统核心能力依赖外部大语言模型服务，模型生成内容本身具有...,body
第五章 系统测试,160,Normal,本系统的性能测试不以大规模压测为目标，而是聚焦于真实使用场景下最关键的体验指标。对于模拟面试系统而言，用户对性能的直接感知主要集中在两个方面：一是提交回答后多久能够看到模型开始返回...,本系统的性能测试不以大规模压测为目标，而是聚焦真实使用场景下最关键的体验指标。对于模拟面试系统而言，用户对性能的直接感知主要来自提交回答后的首段返回时间，以及上传简历后的文本提取与...,body
第五章 系统测试,165,Normal,从当前系统实现和测试结果可见，本系统能够围绕用户登录、简历解析、会话创建、流式对话与评估报告生成构建完整的业务闭环。TC-01 至 TC-09 覆盖了正常流程、文件类型校验、权限校...,从当前系统实现和测试结果可见，本系统能够围绕用户登录、简历解析、会话创建、流式对话与评估报告生成构建完整业务闭环。TC-01 至 TC-09 覆盖正常流程、文件类型校验、权限校验、...,body
第五章 系统测试,166,Normal,同时，也应客观指出本系统的性能与稳定性在一定程度上受制于第三方大语言模型服务。例如，流式接口的首字节响应时间可能会受到网络环境、模型服务负载和上下文长度变化影响而产生波动；简历解析...,同时，也应客观指出，本系统的性能与稳定性在一定程度上受制于第三方大语言模型服务。例如，流式接口的首字节响应时间可能会受到网络环境、模型服务负载和上下文长度变化影响而产生波动；简历解...,body
